name,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,telephone,Adresse,Adresse2,city
Suisse4,,,,,,,,043 497 22 88,10 Barengasse,,Zurich
Royaume-Uni9,,,,,,,,020 7629 9018,19 South Molton Street Mayfair,,London
Etats-Unis7,,,,,,,,(305) 792-1157,19555 Biscayne Blvd,,Miami
France94,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 76 94 27 76,10 rue Clot Bey,,Grenoble
France48,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 44 59 39 06,3 rue des Rosiers,,Paris
Allemagne5,,,,,,,,040 87972297,Bleichenbrucke 1/7,,Hambourg
Japon9,,,,,,,,06-6485-7666,3-1-3 Umeda,,Kita-ku
France30,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 80 48 49 85,41 Rue de la Libert�,,Dijon
Etats-Unis1,,,,,,,,(310) 358-9616,8640 Sunset Boulevard,West Hollywood,Los Angeles
Chine8,,,,,,,,010 6417 6110,19 Sanlitun North Road,Taiguli,Beijing
France12,09:30-20:00,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,04 98 03 62 01,9 Boulevard de Strasbourg,Galeries Lafayette,Toulon
0025 - Montmartre,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 40 13 00 54,11 rue de Montmartre,,Paris
France116,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 91 19 26 91,Boulevard du Littoral,Printemps terrasses du port,Marseille
Espagne9,,,,,,,,963 51 49 10,C/Marques de dos aguas 7,,Valencia
Espagne8,,,,,,,,917 70 49 95,79 Raimudo Fernandez Villaverde,,Madrid
Royaume-Uni6,,,,,,,,020 8332 3004,22 Hill Street Richmond,,London
France84,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 41 43 35 17,6 rue Alsace,,Angers
France26,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 34 33 24 06,4 Rue Lapeyrouse,Galeries Lafayette,Toulouse
Etats-Unis6,,,,,,,,(212) 396-3800,992 Madison Ave,,NY
France87,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 31 88 81 64,104 Rue Eug�ne Colas,,Deauville
France25,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,09 54 63 81 05,4 Rue Lapeyrouse,Galeries Lafayette,Toulouse
France42,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 48 87 46 53,36 rue de la Verrerie,,Paris
Japon7,,,,,,,,093-551-4533,3-1-1 Kyomachi,,Kokurakita-ku
France4,10:00-20:00,,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,01 34 88 66 00,2 Avenue de Europe,Printemps V�lizy 2,V�lizy
Suisse5,,,,,,,,022 310 64 44,1 rue du Perron,,Gen�ve
France16,,10:30-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 42 38 65 08,7 Rue Marius Reynaud,,Aix en Provence
France34,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 87 62 05 14,4 rue Winston Churchill,,Metz
France96,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 83 32 60 18,2 Avenue Foch,Printemps Nancy,Nancy
Etats-Unis4,,,,,,,,(212) 989-7300,831 Washington Street,,NY
Royaume-Uni12,,,,,,,,020 7225 5935,Harrods Women - 87-135 Brompton Road,4�me �tage,London
France58,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 43 22 03 34,22 rue D�part,CC Montparnasse,Paris
France21,09:30-20:00,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,04 93 62 66 19,6 Avenue Jean M�decin,,Nice
Danemark1,,,,,,,,33 33 93 36,"1, Ostergade",,Copenhagen
Royaume-Uni5,,,,,,,,020 7433 3600,23-24 Hampstead High Street,,London
France97,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 83 48 35 68,2 Avenue Foch,Printemps Nancy,Nancy
Russie2,,,,,,,,8 (495) 951-11-98,"48, Kutuzovsky prospekt",Vremena Goda Mall,Moscou
Royaume-Uni7,,,,,,,,020 7313 9518,42 Ledbury Road Kensington,,London
Royaume-Uni3,,,,,,,,020 7586 8633,94 St John Wood's High street,,London
Russie1,,,,,,,,8 (495) 725-41-15,"3, Red Square",,Moscou
Etats-Unis12,,,,,,,,(914) 684-6282,175 Bloomingdale Road,,NY
Etats-Unis9,,,,,,,,(310) 772-7108,10250 Santa Monica Blvd,,LA
France114,10:00-19:30,10:00-19:30,10:00-19:30,10:00-19:30,10:00-21:00,10:00-19:30,10:00-19:30,01 43 79 84 65,21-25 Cours de Vincennes,,Paris
France45,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 21 82 63 71,33 Boulevard du Parc,,Coquelles
Etats-Unis11,,,,,,,,(415) 856-5612,845 Market Street,,San Francisco
France85,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 73 35 15 82,25 Place de Jaude,Galeries Lafayette,Clermont Ferrand
France105,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 67 27 00 09,1 Rue des Pertuisanes,,Montpellier
Suisse3,,,,,,,,027 480 38 84,Rue du Prado 9,,Crans
Chine5,,,,,,,,021 5466 2102,999 Huaihai Middle Rd,,Shanghai
France66,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 44 82 08 35,2 Place des Victoires,,Paris
France93,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-21:00,09:30-20:00,09:30-20:00,01 42 82 40 87,10 rue de Mogador,,Paris
France27,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 47 42 32 81,42 rue du Faubourg St Honor�,,Paris
France108,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 78 62 92 49,17 Rue du Docteur Bouchut,,Lyon
France18,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 93 43 11 56,6 rue du Commandant Andr�,,Cannes
Su�de1,,,,,,,,08-611 80 04,Birger Jarlsgatan 8,,Stockholm
France13,10:00-19:00,,14:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 99 78 50 65,8 rue Leperdit,,Rennes
France123,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 59 41 85 72,19 Place Georges Clemenceau,Galeries Lafayette Biarritz,Biarritz
Italie2,,,,,,,,02 4819 7887,"3,Corso Vercelli",,Milano
Etats-Unis2,,,,,,,,(212) 965-8700,153 Mercer Street,,NY
France31,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 91 52 94 56,40 Rue Saint-Ferr�ol,,Marseille
France7,10:00-20:00,,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,01 39 55 54 39,2 Avenue Charles de Gaulle,,Le Chesnay
France44,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 88 16 96 24,34 Rue du 22 Novembre,,Strasbourg
Belgique5,,,,,,,,02 514 05 24,73 rue Antoine Dansaert,,Bruxelles
Allemagne4,,,,,,,,089 21268819,Neuturmstrassee 10,,Munich
Espagne4,,,,,,,,915 78 46 62,90 calle Claudio Coello,,Madrid
Espagne2,,,,,,,,932 09 22 45,606 avenida Diagonal,,Barcelona
Etats-Unis10,,,,,,,,(212) 729-4501,504 Broadway,,NY
Japon6,,,,,,,,082-568-3366,9-1 Matsubaracho,,Minami-ku
France11,10:30-19:30,,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,01 42 92 00 61,9 rue du 29 Juillet,,Paris
Etats-Unis3,,,,,,,,(212) 414-8470,409 Bleecker St,West Village,NY
Irlande1,,,,,,,,(01) 605 6666,88-95 Grafton Street Dublin 2,2�me �tage,Dublin
France69,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 45 25 04 07,16 bis rue de Passy,,Paris
France51,,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-20:00,02 31 91 73 92,28 rue Saint Jean,1er �tage,Caen
Japon10,,,,,,,,06-6226-8311,1-8-3 Shinsaibashi,,Chuo-ku
France61,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 45 49 10 34,200 Boulevard Saint Germain,,Paris
France65,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 40 20 43 05,2 Place Sainte Croix,,Nantes
Suisse2,,,,,,,,022 310 67 43,5 rue de la Fontaine,,Gen�ve
Chine7,,,,,,,,010 8561 9588,"9, Dongdaqiao Road",Park View Green,Beijing
France50,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 45 00 73 77,3 Avenue Victor Hugo,,Paris
France36,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 35 15 83 82,4 Rue du Gros Horloge,,Rouen
Chine6,,,,,,,,010 6612 1920,No 110 Xidan North Street,,Beijing
Royaume-Uni2,,,,,,,,020 7792 8788,182 Westbourne Grove,,London
France91,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 55 77 22 83,5 Boulevard Carnot,,Limoges
Royaume-Uni10,,,,,,,,020 7351 2231,194 King's Rd,,London
Pays-Bas1,,,,,,,,020 675 9722,78 Pieter Cornelisz Hooftstraat,,Amsterdam
France33,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 35 63 42 07,4 rue du Gros Horloge,,Rouen
France72,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 31 88 38 16,13 Rue Lucien Barri�re,,Deauville
Etats-Unis13,,,,,,,,(617) 630-6653,225 Boylston Street,,Chestnut Hill
France28,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 44 54 00 60,42 rue des Francs Bourgeois,,Paris
France74,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 88 32 62 71,13 rue de la M�sange,,Strasbourg
France73,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 31 87 41 02,13 rue Edmond Blanc,,Deauville
Belgique4,,,,,,,,050 60 14 17,144 Kustlaan,,Kokke Heist
France5,10:00-20:00,,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,01 39 46 33 69,2 Avenue de Europe,Printemps V�lizy 2,Velizy
Etats-Unis8,11:00-19:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,(516) 873-2927,630 Old Contry Road 15530,,Garden City
Chine4,,,,,,,,021 5283 1598,1168 Nanjing Road West,,Shanghai
France99,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 91 54 29 48,40 Rue Saint-Ferr�ol,,Marseille
France95,,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,01 43 29 18 29,1 Rue Vieux Colombier,,Paris
France57,13:00-19:30,11:00-19:30,11:00-19:30,11:00-19:30,11:00-19:30,11:00-19:30,11:00-19:30,01 42 71 81 12,22 rue du Bourg Tibourg,,Paris
Allemagne1,,,,,,,,030 20625037,Franz�sische Strasse 23,,Berlin
France46,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 26 02 23 45,33 Rue Vesle,,Reims
Japon2,,,,,,,,093-551-4533,3-1-1 Kyomachi,,Kokurakita-ku
Espagne6,,,,,,,,944 24 76 27,46 Gran Via,,Bilbao
Etats-Unis5,,,,,,,,(212) 705-3172,1000 3rd Ave,,NY
France55,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 99 61 15 85,23 Rue Foch,,Montpellier
Espagne3,,,,,,,,917 02 10 56,27 Calle Almirante,,Madrid
France39,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,03 20 86 00 53,39-45 Rue Nationale,,Lille
France75,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 42 78 69 92,118 rue Vieille du Temple,,Paris
Royaume-Uni1,,,,,,,,020 7730 1880,140 Sloane Street,,London
Royaume-Uni4,,,,,,,,020 7493 3553,400 Oxford Street,,London
Belgique1,,,,,,,,03 232 42 51,9 Schuttershofstraat,,Anvers
France43,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 88 24 38 01,34 Rue du 22 Novembre,,Strasbourg
France32,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 35 70 45 01,4 rue du Gros Horloge,,Rouen
France89,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 49 09 10 41,96 bld Jean Jaur�s,,Boulogne Billancourt
France70,,10:30-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 78 60 55 39,14 Rue �mile Zola,,Lyon
France49,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 60 42 66 75,3 cours de la Garonne,,Serris
France64,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 34 25 12 34,2 rue Cantegril,,Toulouse
France29,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 78 84 88 53,42 rue de la R�publique,,Lyon
Italie7,,,,,,,,055 238 2301,1 Piazza Repubblica,,Firenze
Espagne5,,,,,,,,934 67 63 29,73 Paseo de Gracia,,Barcelona
France14,09:30-20:00,,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,02 47 66 21 18,77 Rue Nationale,,Tours
Royaume-Uni8,11:30-18:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,020 7201 8684,109-125 Knightsbridge,,London
France37,,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,04 93 81 78 50,4 avenue de Su�de,,Nice
Etats-Unis 14,12:00-17:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,(310) 456-7105,3866 Cross Creek Rd,,Malibu
France17,,10:30-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 78 42 52 88,7 rue du Plat,,Lyon
France68,,,10:30-18:30,10:30-18:30,10:30-18:30,10:30-18:30,10:30-18:30,03 20 55 19 26,17 rue de la Monnaie,,Lille
Japon11,,,,,,,,047-411-4431,7-7-1 Honcho,,Funabashi
France117,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,09 64 10 17 94,Les Terrasses du Port,Quai du Lazaret,Marseille
Allemagne6,,,,,,,,0711 51886971,Marktstra�e 1,,Stuttgart
Japon4,,,,,,,,03-3341-3251,3-14-1 Shinjuku,,Shinjuku-ku
France62,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 28 08 91 72,20 Rue de la Marne,,Nantes
France110,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 20 55 64 29,13 Rue des Chats Bossus,,Lille
France122,,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,01 42 60 66 28,57 Rue Saint Roch,,Paris
France103,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 42 60 87 13,Carrousel du Louvre,Rue de Rivoli,Paris
Allemagne3,,,,,,,,030 21018084,Wilmersdorfer stra�e 118,,Berlin
France98,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 59 54 93 60,1 Avenue Reine Victoria,,Biarritz
Turquie2,,,,,,,,(0216) 410 2215,"Bagdat Cad, NO 447/B",,
Italie5,,,,,,,,055 295625,17/19 Via della Vigna Nuova,,Firenze
France35,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 91 33 64 88,4 Rue Sainte,,Marseille
Royaume-Uni11,12:00-18:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,020 7591 3810,297-299 Brompton Road,,London
Gr�ce1,,,,,,,,21 0364 0222,Voukourestiou no 13,,Ath�nes
Portugal1,,,,,,,,21 342 6316,84-88 Avenida da Liberdade,,Lisboa
Italie4,,,,,,,,06 8535 0130,Piazza Colonna,,Roma
France71,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 93 99 38 37,131 rue Antibes,,Cannes
Japon12,,,,,,,,03-3352-1111,3-14-1 Shinjuku,,Shinjuku-ku
France53,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 56 44 63 30,25 rue Mably,,Bordeaux
Suisse1,,,,,,,,022 310 81 71,10 Grand Rue,,Gen�ve
Italie8,,,,,,,,0421 65106,Via Marco Polo 1,,Noventa di Piave Venezia
France24,,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 62 27 04 15,50 rue Boulbonne,,Toulouse
France107,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 79 62 71 82,19 Boulevard de la colonne,,Chamb�ry
Japon15,,,,,,,,03-6431-0806,3-17-1 Tamagawa,,Setagaya-ku
France67,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 40 70 97 89,18 rue Fran�ois,,Paris
France106,,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-20:00,02 31 91 73 92,108 Bd Mar�chal Leclerc,,Caen
Allemagne7,,,,,,,,0211 86939436,K�nigsallee 2,,Dusseldorf
Allemagne2,,,,,,,,030 21018549,Tauentzienstrasse 21/24,,Berlin
Royaume-Uni14,11:30-17:30,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,,020 7486 3004,"111, Marylebone",,London
Italie9,,,,,,,,051 234694,"Via Farini, 14",,Bologna
Japon14,,,,,,,,022-302-7566,????19-24,,??????
Royaume-Uni16,11:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-20:00,10:00-19:00,,0131 557 6446,30-34 St Andrew Square,,Edinburgh
Canada1,,,,,,,,(403) 269-7341,510 8th Ave SW,,Calgary
Canada4,,,,,,,,(604) 681-3121,737 Dunsmuir St,,Vancouver
France102,,10:00-21:00,10:00-21:00,10:00-21:00,10:00-22:00,10:00-21:00,10:00-21:00,01 45 75 14 17,12 rue Linois,,Paris
Royaume-Uni15,10:30-17:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-20:00,10:00-19:00,,020 7935 5998,Victoria Quater,107-111 Briggate,Leeds
France100,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,02 28 08 93 40,20 Rue de la Marne,,Nantes
Royaume-Uni13,12:00-18:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,020 7259 0049,Harrods Department Store,87-135 Brompton Road,London
0028 - Galeries Lafayette Femme Bordeaux,09:30-20:00,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,05 56 48 58 66,11 rue Sainte Catherine,Galeries Lafayette Bordeaux,Bordeaux
France112,14:00-19:00,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,09 64 15 09 80,2 Place de la Porte Maillot,C.Cial Palais des Congr�s,Paris
Singapour1,,,,,,,,6735 8838,260 Orchard Road,,Singapour
France121,12:00-19:30,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,01 53 76 39 33,12 Rond point des Champs Elys�es,,Paris
0103 - GL Femme Lille,,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-21:00,10:00-21:00,03 20 86 75 20,6 rue de la Rivierette,,Lille
Canada2,,,,,,,,(403) 269-7341,510 8th Ave SW,,Calgary
Turquie1,,,,,,,,(0212) 232 5766,Vali Kona?? Caddesi No:69,,
Suisse6,,,,,,,,021 312 39 10,4 rue de la Paix,,Lausanne
Ukraine1,,,,,,,,044 364 3525,"?????????? ???????, 1?",,????
France23,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:30,03 20 20 08 18,44 Rue Mail De Lannoy,McArthurGlen Roubaix,Roubaix
France52,,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,04 78 38 06 45,26 rue Thomassin,,Lyon
Espagne10,,,,,,,,951 27 91 40,"Calle de Ram�n Areces, S/N",,Marbella
Luxembourg1,,,,,,,,27 99 65 91,"31, rue Philippe II",,Luxembourg
France76,,,10:00-20:00,10:00-20:00,,10:00-21:00,10:00-20:00,01 45 44 22 30,24 rue de S�vres,Bon March�,Paris
France120,10:00-20:00,,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,04 94 42 10 88,RN 98,,La Valette du Var
Italie3,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 7639 0404,"18,Via santo spirito",,Milano
France115,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 99 92 30 77,5 Rue du Bosphore,,Rennes
France104,12:00-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,01 53 76 39 82,35 avenue des champs elys�es,,Paris
Japon17,,,,,,,,045-321-8707,1-6-31 Minamisaiwai,Nishi-ku,Yokohama-shi
Etats-Unis15,12:00-17:00,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,(970) 544-1961,218 S Mill St,,Aspen
France9,10:00-20:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 45 24 36 72,91 Avenue Paul Doumer,,Paris
0102 - Galeries Lafayettes Homme Bordeaux,09:30-20:00,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,05 57 78 14 25,11 rue Sainte Catherine,Galeries Lafayette Bordeaux,Bordeaux
Canada3,10:00-19:00,10:00-19:00,10:00-19:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-19:00,(604) 681-3121,737 Dunsmuir St,,Vancouver
