name,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,telephone,Adresse,Adresse2,city,location
Chine4,,,,,,,,021 5283 1598,1168 Nanjing Road West,,Shanghai,31.228571/121.455929
France99,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 91 54 29 48,40 Rue Saint-Ferréol,,Marseille,43.2939439/5.3777799
France95,,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,01 43 29 18 29,1 Rue Vieux Colombier,,Paris,48.8512333/2.3327429
France57,13:00-19:30,11:00-19:30,11:00-19:30,11:00-19:30,11:00-19:30,11:00-19:30,11:00-19:30,01 42 71 81 12,22 rue du Bourg Tibourg,,Paris,48.857526/2.3564728
Allemagne1,,,,,,,,030 20625037,Franz�sische Strasse 23,,Berlin,52.514702/13.3902259
France46,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 26 02 23 45,33 Rue Vesle,,Reims,49.25345429999999/4.0296617
Japon2,,,,,,,,093-551-4533,3-1-1 Kyomachi,,Kokurakita-ku,33.8851036/130.8825295
Espagne6,,,,,,,,944 24 76 27,46 Gran Via,,Bilbao,43.2636438/-2.9371625
Etats-Unis5,,,,,,,,(212) 705-3172,1000 3rd Ave,,NY,40.7617753/-73.96666669999999
France55,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 99 61 15 85,23 Rue Foch,,Montpellier,43.6109142/3.8756663
Espagne3,,,,,,,,917 02 10 56,27 Calle Almirante,,Madrid,40.4226204/-3.6925351
France39,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,03 20 86 00 53,39-45 Rue Nationale,,Lille,50.63576699999999/3.0611
France75,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 42 78 69 92,118 rue Vieille du Temple,,Paris,48.861259/2.3635702
Royaume-Uni1,,,,,,,,020 7730 1880,140 Sloane Street,,London,51.4931502/-0.1581904
Royaume-Uni4,,,,,,,,020 7493 3553,400 Oxford Street,,London,51.5146301/-0.1528271
Belgique1,,,,,,,,03 232 42 51,9 Schuttershofstraat,,Anvers,51.2165141/4.4062047
France43,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 88 24 38 01,34 Rue du 22 Novembre,,Strasbourg,48.5823346/7.745378199999998
France32,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 35 70 45 01,4 rue du Gros Horloge,,Rouen,49.4412327/1.0934465
France89,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 49 09 10 41,96 bld Jean Jaurès,,Boulogne Billancourt,48.8384238/2.2406538
France70,,10:30-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 78 60 55 39,14 Rue Emile Zola,,Lyon,45.759044/4.8326436
France49,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 60 42 66 75,3 cours de la Garonne,,Serris,48.8523055/2.785399
France64,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 34 25 12 34,2 rue Cantegril,,Toulouse,43.6012011/1.447371
France29,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 78 84 88 53,42 rue de la République,,Lyon,45.7608989/4.8351653
Italie7,,,,,,,,055 238 2301,1 Piazza Repubblica,,Firenze,43.7714011/11.2546557
Espagne5,,,,,,,,934 67 63 29,73 Paseo de Gracia,,Barcelona,41.3935497/2.1627098
France14,09:30-20:00,,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,02 47 66 21 18,77 Rue Nationale,,Tours,47.3908332/0.688169
Royaume-Uni8,11:30-18:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,020 7201 8684,109-125 Knightsbridge,,London,51.5016405/-0.1596344
France37,,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,04 93 81 78 50,4 avenue de Suède,,Nice,43.69660760000001/7.2670013
Etats-Unis 14,12:00-17:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,(310) 456-7105,3866 Cross Creek Rd,,Malibu,34.034998/-118.6852587
France17,,10:30-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 78 42 52 88,7 rue du Plat,,Lyon,45.7582586/4.8296246
France68,,,10:30-18:30,10:30-18:30,10:30-18:30,10:30-18:30,10:30-18:30,03 20 55 19 26,17 rue de la Monnaie,,Lille,50.6406696/3.063637
Japon11,,,,,,,,047-411-4431,7-7-1 Honcho,,Funabashi,35.7032075/139.9843732
France117,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,09 64 10 17 94,Les Terrasses du Port,Quai du Lazaret,Marseille,43.307409/5.366258699999999
Allemagne6,,,,,,,,0711 51886971,Marktstra�e 1,,Stuttgart,48.7750767/9.1797417
Japon4,,,,,,,,03-3341-3251,3-14-1 Shinjuku,,Shinjuku-ku,35.6916376/139.704616
France62,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 28 08 91 72,20 Rue de la Marne,,Nantes,47.2161789/-1.5537571
France110,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,03 20 55 64 29,13 Rue des Chats Bossus,,Lille,50.6396562/3.0640113
France122,,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,10:30-19:00,01 42 60 66 28,57 Rue Saint Roch,,Paris,48.8671313/2.3332244
France103,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 42 60 87 13,Carrousel du Louvre,Rue de Rivoli,Paris,48.860395/2.337599
Allemagne3,,,,,,,,030 21018084,Wilmersdorfer stra�e 118,,Berlin,52.5081824/13.3071951
France98,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 59 54 93 60,1 Avenue Reine Victoria,,Biarritz,43.485313/-1.5556788
Turquie2,,,,,,,,(0216) 410 2215,"Bagdat Cad, NO 447/B",,,40.92305410000001/29.1345546
Italie5,,,,,,,,055 295625,17/19 Via della Vigna Nuova,,Firenze,43.7713402/11.2507372
France35,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 91 33 64 88,4 Rue Sainte,,Marseille,43.2929096/5.3766131
Royaume-Uni11,12:00-18:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,020 7591 3810,297-299 Brompton Road,,London,51.4941312/-0.168616
Gr�ce1,,,,,,,,21 0364 0222,Voukourestiou no 13,,Athènes,37.977516/23.7360647
Portugal1,,,,,,,,21 342 6316,84-88 Avenida da Liberdade,,Lisboa,38.7191557/-9.144136399999999
Italie4,,,,,,,,06 8535 0130,Piazza Colonna,,Roma,41.9011366/12.4799073
France71,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 93 99 38 37,131 rue Antibes,,Cannes,43.551807/7.028044299999999
Japon12,,,,,,,,03-3352-1111,3-14-1 Shinjuku,,Shinjuku-ku,35.6916376/139.704616
France53,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 56 44 63 30,25 rue Mably,,Bordeaux,44.8438408/-0.577386
Suisse1,,,,,,,,022 310 81 71,10 Grand Rue,,Genève,46.2019112/6.1455363
Italie8,,,,,,,,0421 65106,Via Marco Polo 1,,Noventa di Piave Venezia,45.6717237/12.5354538
France24,,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,05 62 27 04 15,50 rue Boulbonne,,Toulouse,43.6016324/1.4484337
France107,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,04 79 62 71 82,19 Boulevard de la colonne,,Chambéry,45.5676996/5.921085300000001
Japon15,,,,,,,,03-6431-0806,3-17-1 Tamagawa,,Setagaya-ku,35.6147765/139.6268262
France67,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 40 70 97 89,18 rue François,,Paris,48.8488867/2.2710289
France106,,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-20:00,02 31 91 73 92,108 Bd Maréchal Leclerc,,Caen,49.1823169/-0.361903
Allemagne7,,,,,,,,0211 86939436,K�nigsallee 2,,Dusseldorf,51.2270704/6.7810988
Allemagne2,,,,,,,,030 21018549,Tauentzienstrasse 21/24,,Berlin,52.5021588/13.3413228
Royaume-Uni14,11:30-17:30,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,,020 7486 3004,"111, Marylebone",,London,51.5231673/-0.1336888
Italie9,,,,,,,,051 234694,"Via Farini, 14",,Bologna,44.4915287/11.3444668
Japon14,,,,,,,,022-302-7566,????19-24,,??????,43.1253841/-76.1114257
Royaume-Uni16,11:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-20:00,10:00-19:00,,0131 557 6446,30-34 St Andrew Square,,Edinburgh,55.95489269999999/-3.1917851
Canada1,,,,,,,,(403) 269-7341,510 8th Ave SW,,Calgary,51.0460565/-114.0719141
Canada4,,,,,,,,(604) 681-3121,737 Dunsmuir St,,Vancouver,49.2839646/-123.1165641
France102,,10:00-21:00,10:00-21:00,10:00-21:00,10:00-22:00,10:00-21:00,10:00-21:00,01 45 75 14 17,12 rue Linois,,Paris,48.8485543/2.2822428
Royaume-Uni15,10:30-17:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-20:00,10:00-19:00,,020 7935 5998,Victoria Quater,107-111 Briggate,Leeds,53.8007554/-1.5490774
France100,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,02 28 08 93 40,20 Rue de la Marne,,Nantes,47.2161789/-1.5537571
Royaume-Uni13,12:00-18:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,020 7259 0049,Harrods Department Store,87-135 Brompton Road,London,51.5073509/-0.1277583
0028 - Galeries Lafayette Femme Bordeaux,09:30-20:00,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,05 56 48 58 66,11 rue Sainte Catherine,Galeries Lafayette Bordeaux,Bordeaux,44.8413103/-0.5748825
France112,14:00-19:00,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,09 64 15 09 80,2 Place de la Porte Maillot,C.Cial Palais des Congrès,Paris,48.8794852/2.2834582
Singapour1,,,,,,,,6735 8838,260 Orchard Road,,Singapour,1.3029619/103.8371889
France121,12:00-19:30,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,01 53 76 39 33,12 Rond point des Champs Elysées,,Paris,48.8692834/2.3090309
0103 - GL Femme Lille,,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-21:00,10:00-21:00,03 20 86 75 20,6 rue de la Rivierette,,Lille,50.6343127/3.0651284
Canada2,,,,,,,,(403) 269-7341,510 8th Ave SW,,Calgary,51.0460565/-114.0719141
Turquie1,,,,,,,,(0212) 232 5766,Vali Kona?? Caddesi No:69,,,
Suisse6,,,,,,,,021 312 39 10,4 rue de la Paix,,Lausanne,46.51955599999999/6.6361379
Ukraine1,,,,,,,,044 364 3525,"?????????? ???????, 1?",,????,37.675545/-122.0877707
France23,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:30,03 20 20 08 18,44 Rue Mail De Lannoy,McArthurGlen Roubaix,Roubaix,50.6903219/3.1804687
France52,,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,04 78 38 06 45,26 rue Thomassin,,Lyon,45.7615977/4.8352216
Espagne10,,,,,,,,951 27 91 40,"Calle de Ramon Areces, S/N",,Marbella,36.490725/-4.9516202
Luxembourg1,,,,,,,,27 99 65 91,"31, rue Philippe II",,Luxembourg,49.6101397/6.1281677
France76,,,10:00-20:00,10:00-20:00,,10:00-21:00,10:00-20:00,01 45 44 22 30,24 rue de Sèvres,Bon Marché,Paris,48.8510122/2.3244161
France120,10:00-20:00,,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,04 94 42 10 88,RN 98,,La Valette du Var,43.14077830000001/6.0186417
Italie3,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 7639 0404,"18,Via santo spirito",,Milano,45.4701569/9.1953415
France115,10:00-19:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,02 99 92 30 77,5 Rue du Bosphore,,Rennes,48.08242/-1.6790023
France104,12:00-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,01 53 76 39 82,35 avenue des champs elysées,,Paris,48.8696912/2.3063133
Japon17,,,,,,,,045-321-8707,1-6-31 Minamisaiwai,Nishi-ku,Yokohama-shi,35.4657774/139.6205984
Etats-Unis15,12:00-17:00,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,(970) 544-1961,218 S Mill St,,Aspen,39.1895967/-106.819411
France9,10:00-20:00,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,01 45 24 36 72,91 Avenue Paul Doumer,,Paris,48.8583811/2.275853
0102 - Galeries Lafayettes Homme Bordeaux,09:30-20:00,,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,05 57 78 14 25,11 rue Sainte Catherine,Galeries Lafayette Bordeaux,Bordeaux,44.8413103/-0.5748825
Canada3,10:00-19:00,10:00-19:00,10:00-19:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-19:00,(604) 681-3121,737 Dunsmuir St,,Vancouver,49.2839646/-123.1165641
